model,metric,img_id,quality_score
glide,MUSIQ,p02.png,67.63058471679688
glide,MUSIQ,p03.png,58.13462448120117
glide,MUSIQ,p04.png,37.72795867919922
glide,MUSIQ,p05.png,62.370025634765625
glide,MUSIQ,p06.png,51.92508316040039
glide,MUSIQ,p07.png,67.87650299072266
glide,MUSIQ,p08.png,57.70762252807617
glide,MUSIQ,p09.png,48.04646682739258
glide,MUSIQ,p10.png,52.35203552246094
glide,MUSIQ,p11.png,65.22598266601562
glide,MUSIQ,p12.png,58.10658645629883
glide,MUSIQ,p13.png,69.90477752685547
glide,MUSIQ,p14.png,68.03219604492188
glide,MUSIQ,p15.png,50.67530059814453
glide,MUSIQ,p16.png,69.92156219482422
glide,MUSIQ,p17.png,55.923336029052734
glide,MUSIQ,p18.png,60.19209671020508
glide,MUSIQ,p19.png,56.287620544433594
glide,MUSIQ,p20.png,49.98545455932617
glide,MUSIQ,p21.png,65.64160919189453
glide,MUSIQ,p22.png,41.68069076538086
glide,MUSIQ,p23.png,54.754493713378906
glide,MUSIQ,p24.png,56.6107063293457
glide,MUSIQ,p25.png,36.39652633666992
glide,MUSIQ,p26.png,57.62997055053711
glide,MUSIQ,p27.png,62.255287170410156
midjourney,MUSIQ,p01.png,68.48509979248047
midjourney,MUSIQ,p02.png,55.99419021606445
midjourney,MUSIQ,p03.png,73.41088104248047
midjourney,MUSIQ,p04.png,75.94403839111328
midjourney,MUSIQ,p05.png,59.30582809448242
midjourney,MUSIQ,p06.png,57.325408935546875
midjourney,MUSIQ,p07.png,74.14625549316406
midjourney,MUSIQ,p08.png,69.84833526611328
midjourney,MUSIQ,p09.png,59.43898010253906
midjourney,MUSIQ,p10.png,59.58549499511719
midjourney,MUSIQ,p11.png,58.876365661621094
midjourney,MUSIQ,p12.png,64.20216369628906
midjourney,MUSIQ,p13.png,62.647789001464844
midjourney,MUSIQ,p14.png,62.72214126586914
midjourney,MUSIQ,p15.png,62.23451232910156
midjourney,MUSIQ,p16.png,67.99874114990234
midjourney,MUSIQ,p17.png,50.804473876953125
midjourney,MUSIQ,p18.png,61.99117660522461
midjourney,MUSIQ,p19.png,43.91313934326172
midjourney,MUSIQ,p20.png,73.04087829589844
midjourney,MUSIQ,p21.png,75.27767944335938
midjourney,MUSIQ,p22.png,65.87069702148438
midjourney,MUSIQ,p23.png,72.13563537597656
midjourney,MUSIQ,p24.png,66.20851135253906
midjourney,MUSIQ,p25.png,35.53706741333008
midjourney,MUSIQ,p26.png,58.59633255004883
midjourney,MUSIQ,p27.png,72.04337310791016
craiyon,MUSIQ,p01.png,51.69158172607422
craiyon,MUSIQ,p02.png,68.81079864501953
craiyon,MUSIQ,p03.png,77.0501937866211
craiyon,MUSIQ,p04.png,38.88039779663086
craiyon,MUSIQ,p05.png,64.42459106445312
craiyon,MUSIQ,p06.png,66.7397689819336
craiyon,MUSIQ,p07.png,61.582786560058594
craiyon,MUSIQ,p08.png,62.4122314453125
craiyon,MUSIQ,p09.png,60.04742431640625
craiyon,MUSIQ,p10.png,62.13099670410156
craiyon,MUSIQ,p11.png,71.52506256103516
craiyon,MUSIQ,p12.png,56.611305236816406
craiyon,MUSIQ,p13.png,59.91448974609375
craiyon,MUSIQ,p14.png,65.92202758789062
craiyon,MUSIQ,p15.png,74.833740234375
craiyon,MUSIQ,p16.png,60.38549041748047
craiyon,MUSIQ,p17.png,54.6469841003418
craiyon,MUSIQ,p18.png,40.37790298461914
craiyon,MUSIQ,p19.png,66.1939468383789
craiyon,MUSIQ,p20.png,65.45907592773438
craiyon,MUSIQ,p21.png,73.94464874267578
craiyon,MUSIQ,p22.png,64.53243255615234
craiyon,MUSIQ,p23.png,71.50389099121094
craiyon,MUSIQ,p24.png,59.817543029785156
craiyon,MUSIQ,p25.png,40.328330993652344
craiyon,MUSIQ,p26.png,57.69541931152344
craiyon,MUSIQ,p27.png,73.06560516357422
dall-e,MUSIQ,p01.png,51.73530960083008
dall-e,MUSIQ,p02.png,70.62198638916016
dall-e,MUSIQ,p03.png,68.48526000976562
dall-e,MUSIQ,p04.png,52.770511627197266
dall-e,MUSIQ,p05.png,64.63934326171875
dall-e,MUSIQ,p06.png,67.30561065673828
dall-e,MUSIQ,p07.png,56.646484375
dall-e,MUSIQ,p08.png,69.89320373535156
dall-e,MUSIQ,p09.png,63.244659423828125
dall-e,MUSIQ,p10.png,60.996131896972656
dall-e,MUSIQ,p11.png,75.92945098876953
dall-e,MUSIQ,p12.png,60.07806396484375
dall-e,MUSIQ,p13.png,70.85554504394531
dall-e,MUSIQ,p14.png,66.88164520263672
dall-e,MUSIQ,p15.png,71.75387573242188
dall-e,MUSIQ,p16.png,65.95606231689453
dall-e,MUSIQ,p17.png,58.813480377197266
dall-e,MUSIQ,p18.png,63.781070709228516
dall-e,MUSIQ,p19.png,66.37602996826172
dall-e,MUSIQ,p20.png,48.514591217041016
dall-e,MUSIQ,p21.png,75.54235076904297
dall-e,MUSIQ,p22.png,61.604190826416016
dall-e,MUSIQ,p23.png,66.19601440429688
dall-e,MUSIQ,p24.png,60.36784362792969
dall-e,MUSIQ,p25.png,38.8243293762207
dall-e,MUSIQ,p26.png,69.89231872558594
dall-e,MUSIQ,p27.png,67.61095428466797
own,MUSIQ,p17.png,52.092254638671875
own,MUSIQ,p18.png,34.103240966796875
own,MUSIQ,p19.png,68.28334045410156
own,MUSIQ,p20.png,64.260498046875
own,MUSIQ,p21.png,75.43058013916016
own,MUSIQ,p22.png,55.686527252197266
own,MUSIQ,p23.png,71.22504425048828
own,MUSIQ,p24.png,71.22135925292969
own,MUSIQ,p25.png,41.60295867919922
own,MUSIQ,p26.png,70.39801788330078
own,MUSIQ,p27.png,46.70771789550781
stable_diffusion,MUSIQ,p01.png,76.28601837158203
stable_diffusion,MUSIQ,p02.png,75.22460174560547
stable_diffusion,MUSIQ,p03.png,76.51213073730469
stable_diffusion,MUSIQ,p04.png,66.2322998046875
stable_diffusion,MUSIQ,p05.png,75.20178985595703
stable_diffusion,MUSIQ,p06.png,78.70047760009766
stable_diffusion,MUSIQ,p07.png,77.39041900634766
stable_diffusion,MUSIQ,p08.png,54.879844665527344
stable_diffusion,MUSIQ,p09.png,72.79254913330078
stable_diffusion,MUSIQ,p10.png,70.23125457763672
stable_diffusion,MUSIQ,p11.png,76.73137664794922
stable_diffusion,MUSIQ,p12.png,68.62786865234375
stable_diffusion,MUSIQ,p13.png,67.83101654052734
stable_diffusion,MUSIQ,p14.png,74.40061950683594
